"component_type","component_name","component_link","Airflow","Color","Connector","Controller","Flow_Direction","Inferred_","LED","Manufacturer","Noise_Level","PWM","Part_#_#","Quantity","RPM","Size","Static_Pressure"
"","NZXT F RGB Core 89.48 CFM 140 mm","https://pcpartpicker.com/product/2288TW/nzxt-f-rgb-core-8948-cfm-140-mm-fans-2-pack-rf-c14hf-b1","24.85 - 89.48 CFM","Black","4-pin PWM + 4-pin 12V RGB","USB","Standard","","RGB","NZXT","20 - 32.5 dB","Yes","RF-C14HF-B1; RF-C14DF-B1","2-Pack","500 - 1800 RPM","140 mm","3.39 mmH2O"
"","be quiet! Pure Wings 3 49.9 CFM 120 mm","https://pcpartpicker.com/product/QM26Mp/be-quiet-pure-wings-3-499-cfm-120-mm-fan-bl105","49.9 CFM","Black","4-pin PWM","","Standard","","","be quiet!","25.5 dB","Yes","BL105","1","1600 RPM","120 mm","1.45 mmH2O"
"","Lian Li Uni Fan AL 64.5 CFM 120 mm","https://pcpartpicker.com/product/4tQcCJ/lian-li-uni-fan-al-645-cfm-120-mm-fan-uf-al120-1w","64.5 CFM","White","4-pin PWM + Proprietary RGB","","Standard","","Addressable RGB","Lian Li","17 - 28.3 dB","Yes","UF-AL120-1W; G99.12AL1W.00","1","800 - 1900 RPM","120 mm","2.62 mmH2O"
"","Thermalright TL-C12B-S V3 X3 66.17 CFM 120 mm","https://pcpartpicker.com/product/yDmNnQ/thermalright-tl-c12b-s-v3-x3-6617-cfm-120-mm-fans-3-pack-tl-c12b-s-v3-x3","66.17 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","25.6 dB","Yes","TL-C12B-S V3 X3","3-Pack","1500 RPM","120 mm","1.53 mmH2O"
"","Cooler Master MasterFan MF Halo 47.2 CFM 120 mm","https://pcpartpicker.com/product/gtkgXL/cooler-master-masterfan-mf120-halo-472-cfm-120-mm-fans-3-pack-mfl-b2dn-183pa-r1","47.2 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","Manual","Standard","","Addressable RGB","Cooler Master","6 - 30 dB","Yes","MFL-B2DN-183PA-R1","3-Pack","650 - 1800 RPM","120 mm","1.6 mmH2O"
"","Corsair iCUE ML RGB ELITE Premium 58.1 CFM 120 mm","https://pcpartpicker.com/product/yDKKHx/corsair-icue-ml-rgb-elite-premium-581-cfm-120-mm-fan-co-9050112-ww","14.86 - 58.1 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Corsair","10 - 30.4 dB","Yes","CO-9050112-WW","1","450 - 2000 RPM","120 mm","2.9 mmH2O"
"","ADATA XPG VENTO 45.3 CFM 120 mm","https://pcpartpicker.com/product/GDwypg/adata-xpg-vento-453-cfm-120-mm-fan-75260103","45.3 CFM","Black / White","3-pin + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","ADATA","23 dB","No","75260103; VENTO120ARGB-BKCWW","1","1200 RPM","120 mm","0.68 mmH2O"
"","Lian Li UNI FAN TL Wireless 90.1 CFM 120 mm","https://pcpartpicker.com/product/nGfV3C/lian-li-uni-fan-tl-wireless-901-cfm-120-mm-fans-3-pack-12tl1w3w","90.1 CFM","White","4-pin PWM","USB","Standard","","Addressable RGB","Lian Li","33 dB","Yes","12TL1W3W; G99.12TL1W3W.00","3-Pack","200 - 2600 RPM","120 mm","3.97 mmH2O"
"","Thermalright TL-S12RW X3 47.6 CFM 120 mm","https://pcpartpicker.com/product/D63NnQ/thermalright-tl-s12rw-x3-476-cfm-120-mm-fans-3-pack-tl-s12rw-x3","47.6 CFM","White","4-pin PWM + 3-pin 5V Addressable RGB","","Reverse","","Addressable RGB","Thermalright","23.2 dB","Yes","TL-S12RW X3","3-Pack","1500 RPM","120 mm","1.31 mmH2O"
"","Lian Li Uni Fan SL-Infinity 61.3 CFM 120 mm","https://pcpartpicker.com/product/2hzhP6/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fan-uf-slin120-1b","0 - 61.3 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Lian Li","0 - 29 dB","Yes","UF-SLIN120-1B; 12SLIN1B; G99.12SLIN1B.00","1","","120 mm","2.66 mmH2O"
"","Lian Li Uni Fan SL-Infinity 61.3 CFM 120 mm","https://pcpartpicker.com/product/2hzhP6/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fan-uf-slin120-1b","0 - 61.3 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Lian Li","0 - 29 dB","Yes","UF-SLIN120-1B; 12SLIN1B; G99.12SLIN1B.00","1","","120 mm","2.66 mmH2O"
"","Noctua NF-A12x25 PWM chromax.black.swap 60.09 CFM 120 mm","https://pcpartpicker.com/product/4q7G3C/noctua-nf-a12x25-pwm-chromaxblackswap-6009-cfm-120-mm-fan-nf-a12x25-pwm-chromaxblackswap","60.09 CFM","Black","4-pin PWM","","Standard","","","Noctua","22.6 dB","Yes","NF-A12x25 PWM chromax.black.swap; NF-A12X25 PWM CH.BK.S; NF-A12x25-PWM-CH-BK-S","1","450 - 2000 RPM","120 mm","2.34 mmH2O"
"","NZXT F RGB Core 89.48 CFM 140 mm","https://pcpartpicker.com/product/kjHqqs/nzxt-f-rgb-core-8948-cfm-140-mm-fan-rf-c14sf-b1","24.85 - 89.48 CFM","Black","4-pin PWM + 4-pin 12V RGB","","Standard","","RGB","NZXT","20 - 32.5 dB","Yes","RF-C14SF-B1","1","500 - 1800 RPM","140 mm","3.39 mmH2O"
