"component_type","component_name","component_link","Color","Dimensions","Drive_Bays","Expansion_Slots","Front_Panel_USB","Inferred_","Manufacturer","Maximum_Video_Card_Length","Motherboard_Form_Factor","Part_#_#","Power_Supply","Power_Supply_Shroud","Side_Panel","Type","Volume","Model"
,Corsair iCUE 5000D RGB AIRFLOW ATX Mid Tower,https://pcpartpicker.com/product/kLkH99/corsair-icue-5000d-rgb-airflow-atx-mid-tower-case-cc-9011243-ww,White,"520 mm x 245 mm x 520 mm; 20.472"" x 9.646"" x 20.472""","2 x Internal 3.5""; 4 x Internal 2.5""",7 x Full-Height; 2 x Full-Height via Riser,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Corsair,"420 mm / 16.535""",ATX; EATX; Micro ATX; Mini ITX,CC-9011243-WW,None,Yes,Tempered Glass,ATX Mid Tower,66.248 L; 2.34 ft³,
,Deepcool TESSERACT BF ATX Mid Tower,https://pcpartpicker.com/product/3MPfrH/deepcool-case-tesseractsw,Black / Blue,"430 mm x 194 mm x 436 mm; 16.929"" x 7.638"" x 17.165""","2 x External 5.25""; 4 x Internal 3.5""; 3 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 1 Type-A; USB 2.0 Type-A,,Deepcool,"310 mm / 12.205""",ATX; Micro ATX; Mini ITX,TESSERACT SW; DP-CCATX-TSRBKBL,None,No,Acrylic,ATX Mid Tower,36.371 L; 1.284 ft³,
,Cougar Conquer ATX Mid Tower,https://pcpartpicker.com/product/KHYWGX/cougar-conquer-atx-mid-tower-case-conquer,Black / Orange,"685 mm x 255 mm x 580 mm; 26.969"" x 10.039"" x 22.835""","3 x Internal 3.5""; 1 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 1 Type-A,,Cougar,"350 mm / 13.78""",ATX; Micro ATX; Mini ITX,Conquer; 385LMR0.0001,None,No,Tempered Glass,ATX Mid Tower,101.311 L; 3.578 ft³,
,Antec DF600 FLUX ATX Mid Tower,https://pcpartpicker.com/product/HYGnTW/antec-df600-flux-atx-mid-tower-case-df600-flux,Black,,"3 x Internal 3.5""; 3 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 1 Type-A,,Antec,"405 mm / 15.945""",ATX; Micro ATX; Mini ITX,DF600 FLUX; 0-761345-80060-0,None,Yes,Tempered Glass,ATX Mid Tower,,
,Thermaltake Ceres 330 ARGB ATX Mid Tower,https://pcpartpicker.com/product/McLdnQ/thermaltake-ceres-330-argb-atx-mid-tower-case-ca-1y2-00m6wn-01,White,"463 mm x 245 mm x 475 mm; 18.228"" x 9.646"" x 18.701""","2 x Internal 2.5""; 1 x Internal 3.5""",7 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Thermaltake,"340 mm / 13.386"" With Drive Cages; 370 mm / 14.567"" Without Drive Cages",ATX; EATX; Micro ATX; Mini ITX,CA-1Y2-00M6WN-01,None,Yes,Tempered Glass,ATX Mid Tower,53.882 L; 1.903 ft³,
,Jonsbo Jonsplus Z20 MicroATX Desktop,https://pcpartpicker.com/product/cgjRsY/jonsbo-jonsplus-z20-microatx-desktop-case-z20-pinkwhite,Pink / White,"382 mm x 198 mm x 335 mm; 15.039"" x 7.795"" x 13.189""","1 x Internal 3.5""; 2 x Internal 2.5""",4 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Jonsbo,"363 mm / 14.291""",Micro ATX; Mini ITX,Z20 Pink/White; Z20 WH-Pink,None,No,Tempered Glass,MicroATX Desktop,25.338 L; 0.895 ft³,
,Vetroo AL800 ATX Mid Tower,https://pcpartpicker.com/product/thzXsY/vetroo-al800-atx-mid-tower-case-vt-case-al800-pk,Pink,"467.36 mm x 218.44 mm x 454.66 mm; 18.4"" x 8.6"" x 17.9""","3 x Internal 2.5""; 2 x Internal 3.5""",7 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A; USB 2.0 Type-A,,Vetroo,"425 mm / 16.732""",ATX; EATX; Micro ATX; Mini ITX,VT-CASE-AL800-PK,None,Yes,Tempered Glass,ATX Mid Tower,46.416 L; 1.639 ft³,
,HYTE Y70 ATX Mid Tower,https://pcpartpicker.com/product/sP4Zxr/hyte-y70-atx-mid-tower-case-cs-hyte-y70-sm,Pink,"470 mm x 320 mm x 470 mm; 18.504"" x 12.598"" x 18.504""","2 x Internal 3.5""",7 x Half-Height; 4 x Full-Height via Riser,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,HYTE,"390 mm / 15.354""",ATX; EATX; Micro ATX; Mini ITX,CS-HYTE-Y70-SM,None,Yes,Tempered Glass,ATX Mid Tower,70.688 L; 2.496 ft³,
,Lian Li O11 Vision Chrome ATX Mid Tower,https://pcpartpicker.com/product/PGYRsY/lian-li-o11-vision-chrome-atx-mid-tower-case-o11vc,Black,"480 mm x 304 mm x 464.5 mm; 18.898"" x 11.969"" x 18.287""","2 x Internal 3.5""; 3 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Lian Li,"455 mm / 17.913""",ATX; EATX; Micro ATX; Mini ITX,O11VC; PC-O11VC; G99.O11VC.00,None,No,Tinted Tempered Glass,ATX Mid Tower,67.78 L; 2.394 ft³,O11 Vision Chrome
,GAMDIAS ATLAS M1 ATX Mid Tower,https://pcpartpicker.com/product/Y9mNnQ/gamdias-atlas-m1-atx-mid-tower-case-gd-atlas-m1,Black,"420 mm x 210 mm x 465 mm; 16.535"" x 8.268"" x 18.307""","2 x Internal 2.5""; 1 x Internal 3.5""",7 x Full-Height; 2 x Full-Height via Riser,USB 3.2 Gen 1 Type-A,,GAMDIAS,"410 mm / 16.142""",ATX; Micro ATX; Mini ITX,GD-ATLAS M1,None,Yes,Tempered Glass,ATX Mid Tower,41.013 L; 1.448 ft³,
,Phanteks NV9 ATX Full Tower,https://pcpartpicker.com/product/KVgrxr/phanteks-nv9-atx-mid-tower-case-ph-nv923tg_dbk01,Black,"575 mm x 280 mm x 615 mm; 22.638"" x 11.024"" x 24.213""","2 x Internal 2.5""; 3 x Internal 3.5""",8 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Phanteks,"490 mm / 19.291""",ATX; EATX; Micro ATX; Mini ITX; SSI CEB,PH-NV923TG_DBK01,None,Yes,Tempered Glass,ATX Full Tower,99.015 L; 3.497 ft³,
