"component_type","component_name","component_link","Color","Dimensions","Drive_Bays","Expansion_Slots","Front_Panel_USB","Inferred_","Manufacturer","Maximum_Video_Card_Length","Motherboard_Form_Factor","Part_#_#","Power_Supply","Power_Supply_Shroud","Side_Panel","Type","Volume","Model"
"","Fractal Design Pop Mini Air MicroATX Mid Tower","https://pcpartpicker.com/product/qJrRsY/fractal-design-pop-mini-air-microatx-mid-tower-case-fd-c-por1m-01","White","432 mm x 215 mm x 393 mm; 17.008"" x 8.465"" x 15.472""","2 x External 5.25""; 2 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A","","Fractal Design","365 mm / 14.37""","Micro ATX; Mini ITX","FD-C-POR1M-01","","Yes","Tempered Glass","MicroATX Mid Tower","36.502 L; 1.289 ft³",""
"","Cooler Master MasterBox 600 ATX Mid Tower","https://pcpartpicker.com/product/gHyH99/cooler-master-masterbox-600-atx-mid-tower-case-mb600-kgnn-s00","Black","474 mm x 230 mm x 481 mm; 18.661"" x 9.055"" x 18.937""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","Cooler Master","360 mm / 14.173"" With Drive Cages; 410 mm / 16.142"" Without Drive Cages","ATX; EATX; Micro ATX; Mini ITX","MB600-KGNN-S00","","Yes","Tempered Glass","ATX Mid Tower","52.439 L; 1.852 ft³",""
"","HYTE Y40 ATX Mid Tower","https://pcpartpicker.com/product/w2jRsY/hyte-y40-atx-mid-tower-case-cs-hyte-y40-ww","White","472 mm x 240 mm x 439 mm; 18.583"" x 9.449"" x 17.283""","1 x Internal 3.5""","6 x Half-Height; 4 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","HYTE","422 mm / 16.614""","ATX; Micro ATX; Mini ITX","CS-HYTE-Y40-WW","","Yes","Tempered Glass","ATX Mid Tower","49.73 L; 1.756 ft³",""
"","Thermaltake Versa H15 MicroATX Mid Tower","https://pcpartpicker.com/product/Yn7CmG/thermaltake-case-ca1d400s1nn00","Black","","1 x External 5.25""; 3 x Internal 3.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Thermaltake","315 mm / 12.402""","Micro ATX; Mini ITX","CA-1D4-00S1NN-00","","No","","MicroATX Mid Tower","",""
"","Montech AIR 903 BASE ATX Mid Tower","https://pcpartpicker.com/product/rBTZxr/montech-air-903-base-atx-mid-tower-case-air-903-base-w","White","478 mm x 230 mm x 493 mm; 18.819"" x 9.055"" x 19.409""","2 x Internal 3.5""; 3 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Montech","400 mm / 15.748""","ATX; EATX; Micro ATX; Mini ITX","AIR 903 BASE (W); AIR 903 BASE W","","Yes","Tempered Glass","ATX Mid Tower","54.2 L; 1.914 ft³",""
"","Phanteks Eclipse P300A Mesh ATX Mid Tower","https://pcpartpicker.com/product/crqBD3/phanteks-eclipse-p300a-mesh-atx-mid-tower-case-ph-ec300atg_bk01","Black","400 mm x 200 mm x 455 mm; 15.748"" x 7.874"" x 17.913""","2 x Internal 3.5""; 1 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Phanteks","355 mm / 13.976""","ATX; Micro ATX; Mini ITX","PH-EC300ATG_BK01; PH-EC300ATG_BK01_AU","","Yes","Tempered Glass","ATX Mid Tower","36.4 L; 1.285 ft³",""
"","be quiet! Dark Base Pro 901 ATX Full Tower","https://pcpartpicker.com/product/JbkH99/be-quiet-dark-base-pro-901-atx-full-tower-case-bgw50","Black","604 mm x 275 mm x 569 mm; 23.78"" x 10.827"" x 22.402""","1 x External 5.25""; 2 x Internal 3.5""; 6 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","be quiet!","350 mm / 13.78"" With Drive Cages; 495 mm / 19.488"" Without Drive Cages","ATX; EATX; Micro ATX; Mini ITX; XL ATX","BGW50","","Yes","Tempered Glass","ATX Full Tower","94.511 L; 3.338 ft³",""
"","MSI MAG FORGE 320R AIRFLOW ATX Mid Tower","https://pcpartpicker.com/product/brP8TW/msi-mag-forge-320r-airflow-atx-mid-tower-case-mag-forge-320r-airflow","Black","472.5 mm x 210 mm x 498 mm; 18.602"" x 8.268"" x 19.606""","2 x Internal 3.5""; 1 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","MSI","390 mm / 15.354""","ATX; Micro ATX; Mini ITX","MAG FORGE 320R AIRFLOW; MAG FORGE 320R; 306-7G23R21-809","","Yes","Tempered Glass","ATX Mid Tower","49.414 L; 1.745 ft³",""
"","Phanteks Eclipse P350X ATX Mid Tower","https://pcpartpicker.com/product/w766Mp/phanteks-eclipse-p350x-atx-mid-tower-case-ph-ec350ptg_dbk","Black","455 mm x 200 mm x 450 mm; 17.913"" x 7.874"" x 17.717""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Phanteks","400 mm / 15.748""","ATX; Micro ATX; Mini ITX","PH-EC350PTG_DBK","","Yes","Tinted Tempered Glass","ATX Mid Tower","40.95 L; 1.446 ft³",""
"","Lian Li O11 Dynamic Mini ATX Mid Tower","https://pcpartpicker.com/product/ByJmP6/lian-li-o11-dynamic-mini-atx-mid-tower-case-o11d-mini-x","Black","420 mm x 269.5 mm x 380 mm; 16.535"" x 10.61"" x 14.961""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","370 mm / 14.567""","ATX; EATX; Micro ATX; Mini ITX","O11D Mini-X; PC-O11DMI-X","","No","Tempered Glass","ATX Mid Tower","43.012 L; 1.519 ft³",""
"","Corsair 6500X ATX Mid Tower","https://pcpartpicker.com/product/tbQKHx/corsair-6500x-atx-mid-tower-case-cc-9011258-ww","White","481 mm x 328 mm x 496 mm; 18.937"" x 12.913"" x 19.528""","2 x Internal 2.5""; 2 x Internal 3.5""","8 x Full-Height; 3 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Corsair","400 mm / 15.748""","ATX; EATX; Micro ATX; Mini ITX","CC-9011258-WW","","No","Tempered Glass","ATX Mid Tower","78.253 L; 2.763 ft³",""
"","MSI MPG GUNGNIR 300R AIRFLOW ATX Mid Tower","https://pcpartpicker.com/product/vJBzK8/msi-mpg-gungnir-300r-airflow-atx-mid-tower-case-gun300rair","Black","505 mm x 235 mm x 510 mm; 19.882"" x 9.252"" x 20.079""","2 x Internal 3.5""; 6 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","MSI","360 mm / 14.173""","ATX; EATX; Micro ATX; Mini ITX","GUN300RAIR; 306-7G21R21-W57; MPG GUNGNIR 300R AIRFLOW","","Yes","Tempered Glass","ATX Mid Tower","60.524 L; 2.137 ft³",""
"","Fractal Design North ATX Mid Tower","https://pcpartpicker.com/product/d8WzK8/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-03","White","447 mm x 215 mm x 469 mm; 17.598"" x 8.465"" x 18.465""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Fractal Design","300 mm / 11.811"" With Drive Cages; 355 mm / 13.976"" Without Drive Cages","ATX; Micro ATX; Mini ITX","FD-C-NOR1C-03","","Yes","Mesh","ATX Mid Tower","45.073 L; 1.592 ft³",""
"","NZXT H6 Flow RGB ATX Mid Tower","https://pcpartpicker.com/product/rM26Mp/nzxt-h6-flow-rgb-atx-mid-tower-case-cc-h61fb-r1","Black","415 mm x 287 mm x 435 mm; 16.339"" x 11.299"" x 17.126""","2 x Internal 2.5""; 1 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","365 mm / 14.37""","ATX; Micro ATX; Mini ITX","CC-H61FB-R1","","Yes","Tempered Glass","ATX Mid Tower","51.811 L; 1.83 ft³",""
"","Cooler Master HAF XB EVO ATX Desktop","https://pcpartpicker.com/product/WT8Zxr/cooler-master-haf-xb-evo-atx-desktop-case-rc-902xb-kkn2","Black","441 mm x 330 mm x 424 mm; 17.362"" x 12.992"" x 16.693""","2 x External 5.25""; 2 x External 3.5""; 2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Cooler Master","334 mm / 13.15""","ATX; Micro ATX; Mini ITX","RC-902XB-KKN2","","No","Mesh","ATX Desktop","61.705 L; 2.179 ft³",""
"","Cooler Master MasterBox NR200 Mini ITX Desktop","https://pcpartpicker.com/product/r6bCmG/cooler-master-masterbox-nr200-mini-itx-desktop-case-mcb-nr200-wnnn-s00","White / Black","376 mm x 185 mm x 292 mm; 14.803"" x 7.283"" x 11.496""","2 x Internal 3.5""; 1 x Internal 2.5""","3 x Full-Height","USB 3.2 Gen 1 Type-A","","Cooler Master","330 mm / 12.992""","Mini ITX; Mini DTX","MCB-NR200-WNNN-S00","","No","","Mini ITX Desktop","20.312 L; 0.717 ft³",""
"","ZZEW A1 Plus Mini ITX Tower","https://pcpartpicker.com/product/3NfnTW/zzew-a1-plus-mini-itx-tower-case-a1p","Silver","200 mm x 114 mm x 253 mm; 7.874"" x 4.488"" x 9.961""","2 x Internal 2.5""","2 x Full-Height via Riser","USB 3.2 Gen 1 Type-A","","ZZEW","195 mm / 7.677""","Mini ITX","A1P","","No","Mesh","Mini ITX Tower","5.768 L; 0.204 ft³",""
"","Lian Li A3-mATX MicroATX Mini Tower","https://pcpartpicker.com/product/c2yH99/lian-li-a3-matx-microatx-mini-tower-case-a3-matx-w","White","443 mm x 194 mm x 306 mm; 17.441"" x 7.638"" x 12.047""","1 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","415 mm / 16.339""","Micro ATX; Mini ITX","A3-mATX-W; A3- mATX White; A3W.US; PC-A3W; G99.A3W.00","","No","Mesh","MicroATX Mini Tower","26.298 L; 0.929 ft³",""
"","Montech Heritage PRO MicroATX Mid Tower","https://pcpartpicker.com/product/Vskqqs/montech-heritage-pro-microatx-mid-tower-case-heritage-pro-black","Black","480 mm x 235 mm x 368 mm; 18.898"" x 9.252"" x 14.488""","1 x Internal 3.5""; 2 x Internal 2.5""","5 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Montech","360 mm / 14.173""","Micro ATX; Mini ITX","Heritage PRO Black; Heritage PRO (B)","","Yes","Tempered Glass","MicroATX Mid Tower","41.51 L; 1.466 ft³",""
"","Fractal Design Node 804 MicroATX Mid Tower","https://pcpartpicker.com/product/yTdqqs/fractal-design-case-fdcanode804blw","Black","389 mm x 344 mm x 307 mm; 15.315"" x 13.543"" x 12.087""","1 x External 5.25"" Slim Slot Load; 10 x Internal 3.5""; 2 x Internal 2.5""","5 x Full-Height","USB 3.2 Gen 1 Type-A","","Fractal Design","290 mm / 11.417"" With Drive Cages; 320 mm / 12.598"" Without Drive Cages","Micro ATX; Mini ITX","FD-CA-NODE-804-BL-W; FD-CA-NODE-804-BL","","No","Acrylic","MicroATX Mid Tower","41.082 L; 1.451 ft³",""
"","Antec DF700 FLUX ATX Mid Tower","https://pcpartpicker.com/product/KWYQzy/antec-df700-flux-atx-mid-tower-case-0-761345-80070-9","Black","467 mm x 220 mm x 486 mm; 18.386"" x 8.661"" x 19.134""","3 x Internal 3.5""; 3 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Antec","405 mm / 15.945""","ATX; Micro ATX; Mini ITX","0-761345-80070-9; CAANT-DF700FLUX; DF700 FLUX","","Yes","Tempered Glass","ATX Mid Tower","49.932 L; 1.763 ft³",""
"","Zalman T6 ATX Mid Tower","https://pcpartpicker.com/product/P7xRsY/zalman-t6-atx-mid-tower-case-t6","Black","377 mm x 200 mm x 430 mm; 14.843"" x 7.874"" x 16.929""","1 x External 5.25""; 2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Zalman","280 mm / 11.024""","ATX; Micro ATX; Mini ITX","T6","","No","","ATX Mid Tower","32.422 L; 1.145 ft³",""
"","GAMDIAS TALOS E3 MESH ATX Mid Tower","https://pcpartpicker.com/product/LfHqqs/gamdias-talos-e3-mesh-atx-mid-tower-case-talos-e3-mesh-wh","White","363 mm x 210 mm x 447 mm; 14.291"" x 8.268"" x 17.598""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","GAMDIAS","300 mm / 11.811""","ATX; Micro ATX; Mini ITX","TALOS E3 MESH WH","","Yes","Tempered Glass","ATX Mid Tower","34.075 L; 1.203 ft³",""
"","Cooler Master Elite 130 Mini ITX Tower","https://pcpartpicker.com/product/6wR48d/cooler-master-case-rc130kkn1","Black","398 mm x 240 mm x 207 mm; 15.669"" x 9.449"" x 8.15""","1 x External 5.25""; 3 x Internal 3.5""; 1 x Internal 2.5""","2 x Full-Height","USB 3.2 Gen 1 Type-A","","Cooler Master","343 mm / 13.504""","Mini ITX","RC-130-KKN1","","No","","Mini ITX Tower","19.773 L; 0.698 ft³",""
"","HYTE Y40 ATX Mid Tower","https://pcpartpicker.com/product/bJC48d/hyte-y40-atx-mid-tower-case-cs-hyte-y40-br","Red / Black","472 mm x 240 mm x 439 mm; 18.583"" x 9.449"" x 17.283""","1 x Internal 3.5""","6 x Half-Height; 4 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","HYTE","422 mm / 16.614""","ATX; Micro ATX; Mini ITX","CS-HYTE-Y40-BR","","Yes","Tempered Glass","ATX Mid Tower","49.73 L; 1.756 ft³",""
"","HYTE REVOLT 3 Mini ITX Tower","https://pcpartpicker.com/product/Zvstt6/hyte-revolt-3-mini-itx-tower-case-cs-hyte-revolt3-b","Black","253 mm x 178 mm x 409 mm; 9.961"" x 7.008"" x 16.102""","1 x Internal 3.5""; 2 x Internal 2.5""","3 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","HYTE","335 mm / 13.189""","Mini ITX","CS-HYTE-REVOLT3-B","","Yes","Mesh","Mini ITX Tower","18.419 L; 0.65 ft³",""
"","NZXT H700i ATX Mid Tower","https://pcpartpicker.com/product/wXX2FT/nzxt-h700i-atx-mid-tower-case-ca-h700w-wb","Black / White","494 mm x 230 mm x 516 mm; 19.449"" x 9.055"" x 20.315""","2 x Internal 3.5""; 5 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","NZXT","413 mm / 16.26""","ATX; Micro ATX; Mini ITX","CA-H700W-WB","","Yes","Tempered Glass","ATX Mid Tower","58.628 L; 2.07 ft³",""
"","DIYPC ARGB-Q01 MicroATX Mini Tower","https://pcpartpicker.com/product/fKNYcf/diypc-argb-q01-microatx-mini-tower-case-argb-q01-bk","Black","365.76 mm x 279.4 mm x 391.16 mm; 14.4"" x 11"" x 15.4""","1 x Internal 2.5""; 2 x Internal 3.5""","5 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","DIYPC","340 mm / 13.386""","Micro ATX; Mini ITX","ARGB-Q01-Bk","","No","Tempered Glass","MicroATX Mini Tower","39.974 L; 1.412 ft³",""
"","Thermaltake Core P3 ATX Mid Tower","https://pcpartpicker.com/product/kmWfrH/thermaltake-core-p3-atx-mid-tower-case-ca-1g4-00m3wn-03","Red","470 mm x 333 mm x 512 mm; 18.504"" x 13.11"" x 20.157""","2 x External 3.5""; 2 x Internal 3.5""","8 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Thermaltake","280 mm / 11.024"" With Drive Cages; 450 mm / 17.717"" Without Drive Cages","ATX; Micro ATX; Mini ITX","CA-1G4-00M3WN-03","","No","Tempered Glass","ATX Mid Tower","80.133 L; 2.83 ft³",""
"","SAMA AR01-RGB MicroATX Mini Tower","https://pcpartpicker.com/product/gtfxFT/sama-ar01-rgb-microatx-mini-tower-case-ar01-rgb-w","White","462.28 mm x 223.52 mm x 447.04 mm; 18.2"" x 8.8"" x 17.6""","4 x Internal 2.5""; 2 x Internal 3.5""","5 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","SAMA","400 mm / 15.748""","Micro ATX; Mini ITX","AR01-RGB-W","","Yes","Tempered Glass","MicroATX Mini Tower","46.192 L; 1.631 ft³",""
"","Jonsbo D32 STD MicroATX Desktop","https://pcpartpicker.com/product/kb8Pxr/jonsbo-d32-std-microatx-desktop-case-d32-std-black","Black","395 mm x 207 mm x 314 mm; 15.551"" x 8.15"" x 12.362""","2 x Internal 2.5""; 1 x Internal 3.5""","4 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Jonsbo","365 mm / 14.37""","Micro ATX; Mini ITX","D32 STD Black","","No","Tempered Glass","MicroATX Desktop","25.674 L; 0.907 ft³",""
"","Jonsbo TK-1 MicroATX Mini Tower","https://pcpartpicker.com/product/6L26Mp/jonsbo-tk-1-microatx-mini-tower-case-tk1wh","White","310 mm x 299 mm x 345 mm; 12.205"" x 11.772"" x 13.583""","2 x Internal 3.5""","4 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Jonsbo","280 mm / 11.024""","Micro ATX; Mini ITX","TK1.WH; TK-1 WH; TK-1 White","","Yes","Tempered Glass","MicroATX Mini Tower","31.978 L; 1.129 ft³",""
"","Jonsbo Jonsplus Z20 MicroATX Desktop","https://pcpartpicker.com/product/CZ7scf/jonsbo-jonsplus-z20-microatx-desktop-case-z20-orangeblack","Orange / Black","382 mm x 198 mm x 335 mm; 15.039"" x 7.795"" x 13.189""","1 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Jonsbo","363 mm / 14.291""","Micro ATX; Mini ITX","Z20 Orange/Black","","No","Tempered Glass","MicroATX Desktop","25.338 L; 0.895 ft³",""
"","Fractal Design Mood Mini ITX Tower","https://pcpartpicker.com/product/bb3NnQ/fractal-design-mood-mini-itx-tower-case-fd-c-mod1n-02","Black","212 mm x 212 mm x 453 mm; 8.346"" x 8.346"" x 17.835""","1 x Internal 3.5""; 2 x Internal 2.5""","2 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","Fractal Design","325 mm / 12.795""","Mini ITX","FD-C-MOD1N-02","","No","Mesh","Mini ITX Tower","20.36 L; 0.719 ft³",""
"","Thermaltake The Tower 600 ATX Mid Tower","https://pcpartpicker.com/product/JN3NnQ/thermaltake-the-tower-600-atx-mid-tower-case-ca-1z1-00m1wn-00","Black","286.4 mm x 420 mm x 550 mm; 11.276"" x 16.535"" x 21.654""","2 x Internal 2.5""; 1 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Thermaltake","400 mm / 15.748""","ATX; Micro ATX; Mini ITX","CA-1Z1-00M1WN-00","","Yes","Tempered Glass","ATX Mid Tower","66.158 L; 2.336 ft³",""
"","Aerocool Trinity Mini V2 MicroATX Mini Tower","https://pcpartpicker.com/product/qsnypg/aerocool-trinity-mini-v2-microatx-mini-tower-case-trinity-mini-g-bk-v2","Black","353.4 mm x 206.5 mm x 385 mm; 13.913"" x 8.13"" x 15.157""","2 x Internal 3.5""; 1 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Aerocool","297 mm / 11.693""","Micro ATX; Mini ITX","Trinity Mini-G-BK-v2; ACCS-PV32033.11","","Yes","Tempered Glass","MicroATX Mini Tower","28.096 L; 0.992 ft³",""
"","Thermaltake Core P5 ATX Mid Tower","https://pcpartpicker.com/product/3cqbt6/thermaltake-case-ca1e700m1wn00","Black","570 mm x 333 mm x 608 mm; 22.441"" x 13.11"" x 23.937""","1 x External 3.5""; 3 x Internal 3.5""","8 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Thermaltake","280 mm / 11.024"" With Drive Cages; 320 mm / 12.598"" Without Drive Cages","ATX; Micro ATX; Mini ITX","CA-1E7-00M1WN-00","","No","Acrylic","ATX Mid Tower","115.404 L; 4.075 ft³",""
"","Lian Li A3-mATX MicroATX Mini Tower","https://pcpartpicker.com/product/c2yH99/lian-li-a3-matx-microatx-mini-tower-case-a3-matx-w","White","443 mm x 194 mm x 306 mm; 17.441"" x 7.638"" x 12.047""","1 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","415 mm / 16.339""","Micro ATX; Mini ITX","A3-mATX-W; A3- mATX White; A3W.US; PC-A3W; G99.A3W.00","","No","Mesh","MicroATX Mini Tower","26.298 L; 0.929 ft³",""
"","Corsair 3500X ARGB ATX Mid Tower","https://pcpartpicker.com/product/BwBzK8/corsair-3500x-argb-atx-mid-tower-case-cc-9011278-ww","Black","460 mm x 240 mm x 506 mm; 18.11"" x 9.449"" x 19.921""","2 x Internal 2.5""; 2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Corsair","410 mm / 16.142""","ATX; EATX; Micro ATX; Mini ITX","CC-9011278-WW","","Yes","Tempered Glass","ATX Mid Tower","55.862 L; 1.973 ft³",""
"","Cooler Master MasterBox MB320L ARGB MicroATX Mini Tower","https://pcpartpicker.com/product/XVbCmG/cooler-master-masterbox-mb320l-argb-microatx-mid-tower-case-mcb-b320l-kgnn-s02","Black","435.5 mm x 217.5 mm x 410 mm; 17.146"" x 8.563"" x 16.142""","2 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A","","Cooler Master","344 mm / 13.543""","Micro ATX; Mini ITX","MCB-B320L-KGNN-S02","","Yes","Tempered Glass","MicroATX Mini Tower","38.836 L; 1.371 ft³",""
"","Athenatech A3701BB HTPC","https://pcpartpicker.com/product/Htfp99/athenatech-case-a3701bb","Black","139 mm x 370 mm x 452 mm; 5.472"" x 14.567"" x 17.795""","2 x External 5.25""; 1 x External 3.5""; 1 x Internal 3.5""","7 x Full-Height","USB 2.0 Type-A","","Athenatech","","ATX; Flex ATX; Micro ATX; Mini ITX","A3701BB","","No","","HTPC","23.246 L; 0.821 ft³",""
"","Lian Li LANCOOL 216 ATX Mid Tower","https://pcpartpicker.com/product/qP2WGX/lian-li-lancool-216-atx-mid-tower-case-lancool-216x","Black","480.9 mm x 235 mm x 491.7 mm; 18.933"" x 9.252"" x 19.358""","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","392 mm / 15.433""","ATX; EATX; Micro ATX; Mini ITX","LANCOOL 216X; G99.LAN216X.00","","Yes","Tempered Glass","ATX Mid Tower","55.568 L; 1.962 ft³",""
"","NZXT H510 Elite ATX Mid Tower","https://pcpartpicker.com/product/kpx2FT/nzxt-h510-elite-atx-mid-tower-case-ca-h510e-w1","White / Black","428 mm x 210 mm x 460 mm; 16.85"" x 8.268"" x 18.11""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","381 mm / 15""","ATX; Micro ATX; Mini ITX","CA-H510E-W1","","Yes","Tempered Glass","ATX Mid Tower","41.345 L; 1.46 ft³",""
"","Fractal Design Define Mini MicroATX Mini Tower","https://pcpartpicker.com/product/jw4gXL/fractal-design-case-fdcadefminibl","Black","489 mm x 210 mm x 394 mm; 19.252"" x 8.268"" x 15.512""","2 x External 5.25""; 6 x Internal 3.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Fractal Design","260 mm / 10.236"" With Drive Cages; 400 mm / 15.748"" Without Drive Cages","Micro ATX; Mini ITX; Thin Mini ITX","FD-CA-DEF-MINI-BL; Define Mini","","No","","MicroATX Mini Tower","40.46 L; 1.429 ft³",""
"","Lian Li LANCOOL 216 ATX Mid Tower","https://pcpartpicker.com/product/qP2WGX/lian-li-lancool-216-atx-mid-tower-case-lancool-216x","Black","480.9 mm x 235 mm x 491.7 mm; 18.933"" x 9.252"" x 19.358""","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","392 mm / 15.433""","ATX; EATX; Micro ATX; Mini ITX","LANCOOL 216X; G99.LAN216X.00","","Yes","Tempered Glass","ATX Mid Tower","55.568 L; 1.962 ft³",""
"","Deepcool MACUBE 110 MicroATX Mini Tower","https://pcpartpicker.com/product/TYMTwP/deepcool-macube-110-microatx-mini-tower-case-r-macube110-bkngm1n-g-1","Black","400 mm x 225 mm x 431 mm; 15.748"" x 8.858"" x 16.969""","2 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A","","Deepcool","320 mm / 12.598""","Micro ATX; Mini ITX","R-MACUBE110-BKNGM1N-G-1; DP-R-MACUBE110-BKNGM1N-G-1","","Yes","Tempered Glass","MicroATX Mini Tower","38.79 L; 1.37 ft³",""
"","MagniumGear Neo Air 2 ATX Mid Tower","https://pcpartpicker.com/product/Y7Hqqs/magniumgear-neo-air-2-atx-mid-tower-case-mg-ne523a_bk06w","Black / Brown","455 mm x 200 mm x 460 mm; 17.913"" x 7.874"" x 18.11""","2 x Internal 3.5""; 3 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-C; USB 3.2 Gen 1 Type-A","","MagniumGear","400 mm / 15.748""","ATX; EATX; Micro ATX; Mini ITX","MG-NE523A_BK06W","","Yes","Tempered Glass","ATX Mid Tower","41.86 L; 1.478 ft³",""
"","Thermaltake View 380 ARGB ATX Mid Tower","https://pcpartpicker.com/product/r9grxr/thermaltake-view-380-argb-atx-mid-tower-case-ca-1z2-00mewn-00","Green","442 mm x 285 mm x 410 mm; 17.402"" x 11.22"" x 16.142""","2 x Internal 2.5""; 1 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Thermaltake","415 mm / 16.339""","ATX; Micro ATX; Mini ITX","CA-1Z2-00MEWN-00","","No","Tinted Tempered Glass","ATX Mid Tower","51.648 L; 1.824 ft³",""
"","Thermaltake View 270 Plus TG ARGB ATX Mid Tower","https://pcpartpicker.com/product/7FfV3C/thermaltake-view-270-plus-tg-argb-atx-mid-tower-case-ca-1y7-00mewn-01","Green","456 mm x 230 mm x 454 mm; 17.953"" x 9.055"" x 17.874""","2 x Internal 3.5""; 1 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Thermaltake","420 mm / 16.535""","ATX; EATX; Micro ATX; Mini ITX","CA-1Y7-00MEWN-01","","Yes","Tempered Glass","ATX Mid Tower","47.616 L; 1.682 ft³",""
