"component_type","component_name","component_link","Manufacturer","Part_#_#"
"","CableMod Classic ModFlex Cable Extension Kit - 8+8 Series - Black [CM-CAB-CKIT-88KK-R]","https://pcpartpicker.com/product/crTzK8/placeholder-","CableMod","CM-CAB-CKIT-88KK-R"
"","Lian Li G89.PW24-V2.00","https://pcpartpicker.com/product/pcsnTW/placeholder-","Lian Li","G89.PW24-V2.00"
"","Asiahorse Power Supply Sleeved Cable for Power Supply Extension Cable Wire Kit 1x24-PIN/ 2x8-PORT (4+4) M/B,3x8-PORT (6+2) PCI-E 30cm Length with Combs(Dual EPS White)","https://pcpartpicker.com/product/4hRgXL/placeholder-","AsiaHorse","B08KD9T7SG"
"","Asiahorse Power Supply Sleeved Cable for Power Supply Extension Cable Wire Kit 1x24-PIN/ 2x8-PORT (4+4) M/B,3x8-PORT (6+2) PCI-E 30cm Length with Combs(Dual EPS White)","https://pcpartpicker.com/product/4hRgXL/placeholder-","AsiaHorse","B08KD9T7SG"
"","ASIAHORSE 18AWG PSU Cable Extension Sleeved Custom Power Supply Braided with Combs kit for ATX CPU GPU Modular Power Supply Unit /1x24P/1x8P (4+4) CPU/2x8 P(6+2) GPU/30CM 11.8Inch (Black)","https://pcpartpicker.com/product/8ZhmP6/placeholder-","AsiaHorse","B08HLYM54P"
"","ASIAHORSE 18AWG PSU Cable Extension Sleeved Custom Power Supply Braided with Combs kit for ATX CPU GPU Modular Power Supply Unit /1x24P/1x8P (4+4) CPU/2x8 P(6+2) GPU/30CM 11.8Inch (Black)","https://pcpartpicker.com/product/8ZhmP6/placeholder-","AsiaHorse","B08HLYM54P"
"","Thermal Grizzly KryoSheet (33 x 33 x 0,2 mm)","https://pcpartpicker.com/product/kH3NnQ/placeholder","Thermal Grizzly","TG-KS-24-12"
"","CableMod Classic ModFlex Cable Extension Kit - 8+8 Series - Black [CM-CAB-CKIT-88KK-R]","https://pcpartpicker.com/product/crTzK8/placeholder-","CableMod","CM-CAB-CKIT-88KK-R"
"","Lian Li G89.PW24-V2.00","https://pcpartpicker.com/product/pcsnTW/placeholder-","Lian Li","G89.PW24-V2.00"
"","Asiahorse Power Supply Sleeved Cable for Power Supply Extension Cable Wire Kit 1x24-PIN/ 2x8-PORT (4+4) M/B,3x8-PORT (6+2) PCI-E 30cm Length with Combs(Dual EPS White)","https://pcpartpicker.com/product/4hRgXL/placeholder-","AsiaHorse","B08KD9T7SG"
"","Asiahorse Power Supply Sleeved Cable for Power Supply Extension Cable Wire Kit 1x24-PIN/ 2x8-PORT (4+4) M/B,3x8-PORT (6+2) PCI-E 30cm Length with Combs(Dual EPS White)","https://pcpartpicker.com/product/4hRgXL/placeholder-","AsiaHorse","B08KD9T7SG"
"","ASIAHORSE 18AWG PSU Cable Extension Sleeved Custom Power Supply Braided with Combs kit for ATX CPU GPU Modular Power Supply Unit /1x24P/1x8P (4+4) CPU/2x8 P(6+2) GPU/30CM 11.8Inch (Black)","https://pcpartpicker.com/product/8ZhmP6/placeholder-","AsiaHorse","B08HLYM54P"
