component_name,component_link,Capacity,Form_Factor,Full_Disk_Write_Throughput,Full_Disk_Write_Throughput_Lowest_10_Seconds,Interface,Manufacturer,NVME,Part__,Price_GB,Random_Read_Throughput_QD1,Random_Read_Throughput_QD32,Random_Write_Throughput_QD1,Random_Write_Throughput_QD32,SSD_NAND_Flash_Type,Sequential_Read_Throughput_QD1,Sequential_Read_Throughput_QD4,Sequential_Write_Throughput_QD1,Sequential_Write_Throughput_QD4,Type
Intel 670P 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/r4C48d/intel-670p-1-tb-m2-2280-nvme-solid-state-drive-ssdpeknu010tzx1,1000,M.2 2280,,,PCIe 3.0 x4,Intel,TRUE,SSDPEKNU010TZX1,0.097,,,,,,,,,,SSD
Timetec 35Ttfp6Pcie 512 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/L9VmP6/timetec-35ttfp6pcie-512-gb-m2-2280-nvme-solid-state-drive-35ttfp6pcie-512g,512,M.2 2280,,,PCIe 3.0 x4,Timetec,TRUE,35TTFP6PCIE-512G,0.066,,,,,,,,,,SSD
"Silicon Power A55 1 Tb 2.5"" Ssd",https://pcpartpicker.com/product/nXF48d/silicon-power-a55-1-tb-25-solid-state-drive-sp001tbss3a55s25,1000,"2.5""",,,SATA 6.0 Gb/s,Silicon Power,FALSE,SP001TBSS3A55S25,0.05,,,,,,,,,,SSD
"Teamgroup Qx 512 Gb 2.5"" Ssd",https://pcpartpicker.com/product/tMCZxr/teamgroup-qx-512-gb-25-solid-state-drive-t253x7512g0c101,512,"2.5""",,,SATA 6.0 Gb/s,Teamgroup,FALSE,T253X7512G0C101,0.059,,,,,,,,,,SSD
"Adata Su800 512 Gb 2.5"" Ssd",https://pcpartpicker.com/product/V3mxFT/adata-ultimate-su800-512-gb-25-solid-state-drive-asu800ss-512gt-c,512,"2.5""",,,SATA 6.0 Gb/s,Adata,FALSE,ASU800SS-512GT-C,0.118,,,,,,,,,,SSD
Sk Hynix Platinum P41 500 Gb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/chcG3C/sk-hynix-platinum-p41-500-gb-m2-2280-nvme-solid-state-drive-shpp41-500gm-2,500,M.2 2280,,,PCIe 4.0 x4,Sk Hynix,TRUE,SHPP41-500GM-2,0.116,,,,,,,,,,SSD
Teamgroup Mp44 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/DN6NnQ/teamgroup-mp44-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpw002t0c101,2000,M.2 2280,,,PCIe 4.0 x4,Teamgroup,TRUE,TM8FPW002T0C101,0.061,,,,,,,,,,SSD
Teamgroup Ms30 256 Gb M.2-2280 Sata Ssd,https://pcpartpicker.com/product/JPPKHx/team-ms30-256-gb-m2-2280-solid-state-drive-tm8ps7256g0c101,256,M.2 2280,,,M.2 SATA,Teamgroup,FALSE,TM8PS7256G0C101,0.098,,,,,,,,,,SSD
Western Digital Blue Sn580 250 Gb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/xx26Mp/western-digital-blue-sn580-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds250g3b0e,250,M.2 2280,,,PCIe 4.0 x4,Western Digital,TRUE,WDS250G3B0E,0.132,,,,,,,,,,SSD
Crucial T705 1 Tb M.2-2280 Pcie 5.0 X4 Nvme Ssd,https://pcpartpicker.com/product/bF9wrH/crucial-t705-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct1000t705ssd3,1000,M.2 2280,,,PCIe 5.0 x4,Crucial,TRUE,CT1000T705SSD3,0.143,,,,,,,,,,SSD
