component_type,component_name,component_link,CPU_Socket,Color,Fan_RPM,Fanless,Height,Inferred_,Manufacturer,Noise_Level,Part_#_#,Water_Cooled
,Thermalright Peerless Assassin MINI 66.87 CFM,https://pcpartpicker.com/product/6T9wrH/thermalright-peerless-assassin-mini-6687-cfm-cpu-cooler-peerless-assassin-120-mini-white,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,1500 RPM,No,135 mm,,Thermalright,25.6 dB,Peerless Assassin 120 MINI WHITE,No
,Thermalright Frozen Warframe ARGB 70.84 CFM Liquid,https://pcpartpicker.com/product/cjgrxr/thermalright-frozen-warframe-argb-7084-cfm-liquid-cpu-cooler-frozen-warframe-240-white-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,2000 RPM,No,,,Thermalright,22.1 dB,Frozen Warframe 240 WHITE ARGB,Yes - 240 mm
,EK EK-Nucleus AIO CR240 Lux D-RGB 72 CFM Liquid,https://pcpartpicker.com/product/prytt6/ek-ek-nucleus-aio-cr240-lux-d-rgb-72-cfm-liquid-cpu-cooler-ek-nucleus-aio-cr240-lux-d-rgb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,550 - 2300 RPM,No,,,EK,36 dB,EK-Nucleus AIO CR240 Lux D-RGB; 3831109851678,Yes - 240 mm
,Thermalright Frozen Warframe ARGB 70.84 CFM Liquid,https://pcpartpicker.com/product/cjgrxr/thermalright-frozen-warframe-argb-7084-cfm-liquid-cpu-cooler-frozen-warframe-240-white-argb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,2000 RPM,No,,,Thermalright,22.1 dB,Frozen Warframe 240 WHITE ARGB,Yes - 240 mm
,be quiet! Silent Loop 3 76.7 CFM Liquid,https://pcpartpicker.com/product/ncTFf7/be-quiet-silent-loop-3-767-cfm-liquid-cpu-cooler-bw024,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,2500 RPM,No,94 mm,,be quiet!,18.7 - 36.9 dB,BW024,Yes - 240 mm
,Thermalright Phantom Spirit EVO 69 CFM,https://pcpartpicker.com/product/BRMMnQ/thermalright-phantom-spirit-evo-69-cfm-cpu-cooler-phantom-spirit-120-evo,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,2150 RPM,No,157 mm,,Thermalright,27 dB,Phantom Spirit 120 EVO; PS120 EVO,No
,Thermalright AQUA ELITE ARGB V4 66.17 CFM Liquid,https://pcpartpicker.com/product/Wb2j4D/thermalright-aqua-elite-argb-v4-6617-cfm-liquid-cpu-cooler-aqua-elite-240-white-argb-v4,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,1550 RPM,No,48 mm,,Thermalright,25.6 dB,AQUA ELITE 240 WHITE ARGB V4,Yes - 240 mm
,Lian Li Galahad II Trinity SL-INF 61.3 CFM Liquid,https://pcpartpicker.com/product/hQfxFT/lian-li-galahad-ii-trinity-sl-inf-613-cfm-liquid-cpu-cooler-ga2t36inb,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,2100 RPM,No,69 mm,,Lian Li,29 dB,GA2T36INB; G89.GA2T36INB.00,Yes - 360 mm
,Lian Li Galahad II Trinity 79.9 CFM Liquid,https://pcpartpicker.com/product/JLwmP6/lian-li-galahad-ii-trinity-799-cfm-liquid-cpu-cooler-ga2t36w,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,2450 RPM,No,69 mm,,Lian Li,35.4 dB,GA2T36W; G89.GA2T36W.00,Yes - 360 mm
,Deepcool ASSASSIN IV 79.1 CFM,https://pcpartpicker.com/product/TKcgXL/deepcool-assassin-iv-791-cfm-cpu-cooler-r-asn4-bknnmt-g,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 1700 RPM,No,164 mm,,Deepcool,22.6 - 29.3 dB,R-ASN4-BKNNMT-G; ASSASSIN IV,No
