component_type,component_name,component_link,CPU_Socket,Color,Fan_RPM,Fanless,Height,Inferred_,Manufacturer,Noise_Level,Part_#_#,Water_Cooled
,NZXT Kraken X53 73.11 CFM Liquid,https://pcpartpicker.com/product/PVfFf7/nzxt-kraken-x53-7311-cfm-liquid-cpu-cooler-rl-krx53-01,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 2000 RPM,No,,,NZXT,21 - 36 dB,RL-KRX53-01,Yes - 240 mm
,be quiet! Dark Rock Slim,https://pcpartpicker.com/product/krxbt6/be-quiet-dark-rock-slim-cpu-cooler-bk024,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,1500 RPM,No,159 mm,,be quiet!,11 - 23.6 dB,BK024,No
,NZXT Kraken 280 RGB 90.79 CFM Liquid,https://pcpartpicker.com/product/JVwmP6/nzxt-kraken-280-rgb-9079-cfm-liquid-cpu-cooler-rl-kr280-w1,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,White,500 - 1500 RPM,No,56 mm,,NZXT,34.48 dB,RL-KR280-W1,Yes - 280 mm
,NZXT Kraken X53 73.11 CFM Liquid,https://pcpartpicker.com/product/PVfFf7/nzxt-kraken-x53-7311-cfm-liquid-cpu-cooler-rl-krx53-01,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 2000 RPM,No,,,NZXT,21 - 36 dB,RL-KRX53-01,Yes - 240 mm
,be quiet! Dark Rock Pro 4 50.5 CFM,https://pcpartpicker.com/product/F3gzK8/be-quiet-dark-rock-pro-4-505-cfm-cpu-cooler-bk022,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,1500 RPM,No,163 mm,,be quiet!,12.8 - 24.3 dB,BK022,No
,ID-COOLING PINKFLOW 55.2 CFM Liquid,https://pcpartpicker.com/product/4x2bt6/id-cooling-pinkflow-552-cfm-liquid-cpu-cooler-pinkflow-240,AM2; AM2+; AM3; AM3+; AM4; AM5; sTR4; sTRX4; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White / Pink,900 - 2000 RPM,No,,,ID-COOLING,16.3 - 33.5 dB,PINKFLOW 240,Yes - 240 mm
,Thermalright Frozen Notte ARGB V2 72.37 CFM Liquid,https://pcpartpicker.com/product/Bw26Mp/thermalright-frozen-notte-argb-v2-7237-cfm-liquid-cpu-cooler-frozen-notte-360-white-argb-v2,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,2000 RPM,No,54 mm,,Thermalright,27.7 dB,Frozen Notte 360 WHITE ARGB V2,Yes - 360 mm
,ARCTIC Liquid Freezer II 280 72.8 CFM Liquid,https://pcpartpicker.com/product/smDkcf/arctic-liquid-freezer-ii-280-728-cfm-liquid-cpu-cooler-acfre00066a,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,200 - 1700 RPM,No,,,ARCTIC,,ACFRE00066A; ACFRE00066B,Yes - 280 mm
,ID-COOLING IS-67-XT 67.58 CFM,https://pcpartpicker.com/product/JjvD4D/id-cooling-is-67-xt-6758-cfm-cpu-cooler-is-67-xt-black,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851,Black,500 - 2200 RPM,No,67 mm,,ID-COOLING,35.2 dB,IS-67-XT BLACK,No
,Thermaltake TH420 ARGB Sync 84.32 CFM Liquid,https://pcpartpicker.com/product/D2RwrH/thermaltake-th420-argb-sync-8432-cfm-liquid-cpu-cooler-cl-w369-pl14sw-a,AM2; AM2+; AM3; AM3+; AM4; AM5; FM1; FM2; FM2+; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White,500 - 1800 RPM,No,,,Thermaltake,34.7 dB,CL-W369-PL14SW-A; CL-W369-PL14SW-B,Yes - 420 mm
,Thermaltake Contac Silent 12 74.33 CFM,https://pcpartpicker.com/product/gTGj4D/thermaltake-contac-silent-12-743-cfm-cpu-cooler-cl-p039-al12bl-a,AM2; AM2+; AM3; AM3+; AM4; FM1; FM2; FM2+; LGA775; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366,,400 - 1500 RPM,No,153 mm,,Thermaltake,22.1 - 28.8 dB,CL-P039-AL12BL-A,No
,ID-COOLING FX360 PRO 82.5 CFM Liquid,https://pcpartpicker.com/product/kCYRsY/id-cooling-fx360-pro-825-cfm-liquid-cpu-cooler-fx360-pro,AM4; AM5; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,Black,500 - 1800 RPM,No,,,ID-COOLING,35.2 dB,FX360 PRO,Yes - 360 mm
,NZXT Kraken Z53 RGB 52.44 CFM Liquid,https://pcpartpicker.com/product/BXZ9TW/nzxt-kraken-z53-rgb-5244-cfm-liquid-cpu-cooler-rl-krz53-rw,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1366; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White / Black,500 - 1500 RPM,No,,,NZXT,22 - 33 dB,RL-KRZ53-RW,Yes - 240 mm
,HYTE THICC Q60 105.8 CFM Liquid,https://pcpartpicker.com/product/qrCZxr/hyte-thicc-q60-1058-cfm-liquid-cpu-cooler-fan-hyte-q60-bw,AM4; AM5; sTR4; sTRX4; LGA1150; LGA1151; LGA1155; LGA1156; LGA1200; LGA1700; LGA1851; LGA2011; LGA2011-3; LGA2066,White / Black,,No,105 mm,,HYTE,10 - 47.3 dB,FAN-HYTE-Q60-BW,Yes - 240 mm
