component_name,component_link,Boost_Clock,Case_Expansion_Slot_Width,Chipset,Color,Cooling,Core_Clock,DisplayPort_Outputs,Effective_Memory_Clock,External_Power,Frame_Sync,HDMI_Outputs,Inferred_,Interface,Length,Manufacturer,Memory,Memory_Type,Part_#_#,SLI_CrossFire,TDP,Total_Slot_Width,,,
EVGA XC GAMING GeForce RTX 3060 Ti 8 GB,https://pcpartpicker.com/product/ZdpmP6/evga-geforce-rtx-3060-ti-8-gb-xc-gaming-video-card-08g-p5-3663-kr,1710 MHz,2,GeForce RTX 3060 Ti,Black,2 Fans,1410 MHz,3,14000 MHz,1 x PCIe 8-pin,G-Sync,1,,PCIe x16,202 mm,EVGA,8 GB,GDDR6,08G-P5-3663-KR,,200 W,2,,,
XFX Speedster QICK 319 BLACK Radeon RX 6700 XT 12 GB,https://pcpartpicker.com/product/Q4stt6/xfx-radeon-rx-6700-xt-12-gb-speedster-qick-319-black-video-card-rx-67xtypbdp,2622 MHz,2,Radeon RX 6700 XT,Black,3 Fans,2457 MHz,3,16000 MHz,2 x PCIe 8-pin,FreeSync,1,,PCIe x16,323 mm,XFX,12 GB,GDDR6,RX-67XTYPBDP,,230 W,3,,,
Gigabyte GAMING OC GeForce RTX 3090 24 GB,https://pcpartpicker.com/product/wrkgXL/gigabyte-geforce-rtx-3090-24-gb-gaming-oc-video-card-gv-n3090gaming-oc-24gd,1755 MHz,2,GeForce RTX 3090,Black / Gray,3 Fans,1395 MHz,3,19500 MHz,2 x PCIe 8-pin,G-Sync,2,,PCIe x16,320 mm,Gigabyte,24 GB,GDDR6X,GV-N3090GAMING OC-24GD,2-way SLI Capable,350 W,3,,,
Sapphire PULSE Radeon RX 570 8 GB,https://pcpartpicker.com/product/89wkcf/sapphire-radeon-rx-570-8-gb-pulse-video-card-11266-66-20g,1284 MHz,2,Radeon RX 570,Black / Silver,2 Fans,1168 MHz,2,7000 MHz,1 x PCIe 8-pin,FreeSync,2,,PCIe x16,230 mm,Sapphire,8 GB,GDDR5,11266-66-20G,4-way CrossFire Capable; 3-way CrossFire Capable; 2-way CrossFire Capable,150 W,2,,,
EVGA XC ULTRA GAMING GeForce RTX 2080 8 GB,https://pcpartpicker.com/product/r8smP6/evga-geforce-rtx-2080-8gb-xc-ultra-gaming-video-card-08g-p4-2183-kr,1815 MHz,3,GeForce RTX 2080,Black / Clear,2 Fans,1515 MHz,3,14000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,1,,PCIe x16,270 mm,EVGA,8 GB,GDDR6,08G-P4-2183-KR,2-way SLI Capable,215 W,3,,,
EVGA XC ULTRA GAMING GeForce RTX 2080 8 GB,https://pcpartpicker.com/product/r8smP6/evga-geforce-rtx-2080-8gb-xc-ultra-gaming-video-card-08g-p4-2183-kr,1815 MHz,3,GeForce RTX 2080,Black / Clear,2 Fans,1515 MHz,3,14000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,1,,PCIe x16,270 mm,EVGA,8 GB,GDDR6,08G-P4-2183-KR,2-way SLI Capable,215 W,3,,,
MSI GAMING X Radeon RX 6600 XT 8 GB,https://pcpartpicker.com/product/KhvdnQ/msi-radeon-rx-6600-xt-8-gb-gaming-x-video-card-rx6600xt-gaming-x-8g,2607 MHz,2,Radeon RX 6600 XT,Black / Silver,2 Fans,1968 MHz,3,16000 MHz,1 x PCIe 8-pin,FreeSync,1,,PCIe x16,277 mm,MSI,8 GB,GDDR6,RX6600XT GAMING X 8G; Radeon RX 6600 XT GAMING X 8G; V502-003R,,160 W,3,,,
EVGA FTW3 ULTRA GAMING GeForce RTX 3080 10GB 10 GB,https://pcpartpicker.com/product/dKrYcf/evga-geforce-rtx-3080-10-gb-ftw3-ultra-gaming-video-card-10g-p5-3897-kr,1800 MHz,2,GeForce RTX 3080 10GB,Black,3 Fans,1440 MHz,3,19000 MHz,3 x PCIe 8-pin,G-Sync,1,,PCIe x16,300 mm,EVGA,10 GB,GDDR6X,10G-P5-3897-KR,,320 W,3,,,
PowerColor Red Devil Radeon RX 6700 XT 12 GB,https://pcpartpicker.com/product/2kJgXL/powercolor-radeon-rx-6700-xt-12-gb-red-devil-video-card-axrx-6700xt-12gbd6-3dheoc,2622 MHz,2,Radeon RX 6700 XT,Black,3 Fans,2321 MHz,3,16000 MHz,2 x PCIe 8-pin,FreeSync,1,,PCIe x16,320 mm,PowerColor,12 GB,GDDR6,AXRX 6700XT 12GBD6-3DHE/OC,,230 W,3,,,
ASRock Phantom Gaming D OC Radeon RX 6500 XT 4 GB,https://pcpartpicker.com/product/dmvdnQ/asrock-radeon-rx-6500-xt-4-gb-phantom-gaming-d-oc-video-card-rx6500xt-pgd-4go,2820 MHz,2,Radeon RX 6500 XT,Black,2 Fans,2365 MHz,1,18000 MHz,1 x PCIe 8-pin,FreeSync,1,,PCIe x16,240 mm,ASRock,4 GB,GDDR6,RX6500XT PGD 4GO; 90-GA3DZZ-00UANF,,107 W,2,,,
Gigabyte AORUS MASTER GeForce RTX 3080 Ti 12 GB,https://pcpartpicker.com/product/JYXJ7P/gigabyte-geforce-rtx-3080-ti-12-gb-aorus-master-video-card-gv-n308taorus-m-12gd,1770 MHz,2,GeForce RTX 3080 Ti,Black,3 Fans,1365 MHz,3,,3 x PCIe 8-pin,G-Sync,3,,PCIe x16,320 mm,Gigabyte,12 GB,GDDR6X,GV-N308TAORUS M-12GD,,350 W,4,,,
Asus STRIX GAMING OC GeForce RTX 2060 6 GB,https://pcpartpicker.com/product/Cdkj4D/asus-geforce-rtx-2060-6-gb-strix-gaming-oc-video-card-rog-strix-rtx2060-o6g-gaming,1860 MHz,2,GeForce RTX 2060,Black,3 Fans,1365 MHz,2,14000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,2,,PCIe x16,300 mm,Asus,6 GB,GDDR6,ROG-STRIX-RTX2060-O6G-GAMING; 90YV0CI0-M0NA00; ROGSTRIXRTX2060O6GGAM,,160 W,3,,,
Zotac GAMING Twin Edge OC GeForce RTX 3060 12GB 12 GB,https://pcpartpicker.com/product/sM8bt6/zotac-geforce-rtx-3060-12-gb-gaming-twin-edge-oc-video-card-zt-a30600h-10m,1807 MHz,2,GeForce RTX 3060 12GB,Black,2 Fans,1320 MHz,3,15000 MHz,1 x PCIe 8-pin,G-Sync,1,,PCIe x16,224 mm,Zotac,12 GB,GDDR6,ZT-A30600H-10M,,170 W,2,,,
ASRock Challenger D Radeon RX 6600 8 GB,https://pcpartpicker.com/product/D9ytt6/asrock-radeon-rx-6600-8-gb-challenger-d-video-card-rx6600-cld-8g,,2,Radeon RX 6600,Black,2 Fans,1626 MHz,3,,1 x PCIe 8-pin,FreeSync,1,,PCIe x16,269 mm,ASRock,8 GB,GDDR6,RX6600 CLD 8G; 90-GA2RZZ-00UANF,,132 W,2,,,
Asus KO Gaming OC GeForce RTX 3070 8 GB,https://pcpartpicker.com/product/p3K2FT/asus-geforce-rtx-3070-8-gb-ko-gaming-oc-video-card-ko-rtx3070-o8g-gaming,1845 MHz,2,GeForce RTX 3070,Black / Silver,2 Fans,1500 MHz,3,14000 MHz,2 x PCIe 8-pin,G-Sync,2,,PCIe x16,275 mm,Asus,8 GB,GDDR6,KO-RTX3070-O8G-GAMING,,220 W,3,,,
Gigabyte Vision OC GeForce RTX 3070 8 GB,https://pcpartpicker.com/product/bgvqqs/gigabyte-geforce-rtx-3070-8-gb-vision-oc-video-card-gv-n3070visionoc-8gd,1815 MHz,2,GeForce RTX 3070,Silver,3 Fans,1500 MHz,2,14000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,2,,PCIe x16,286 mm,Gigabyte,8 GB,GDDR6,GV-N3070VISIONOC-8GD,,220 W,3,,,
PowerColor Fighter Radeon RX 6600 8 GB,https://pcpartpicker.com/product/fQhFf7/powercolor-radeon-rx-6600-8-gb-fighter-video-card-axrx-6600-8gbd6-3dh,2491 MHz,2,Radeon RX 6600,Black,2 Fans,1626 MHz,3,,1 x PCIe 8-pin,FreeSync,1,,PCIe x16,200 mm,PowerColor,8 GB,GDDR6,AXRX 6600 8GBD6-3DH,,132 W,2,,,
PowerColor Red Devil Radeon RX 6700 XT 12 GB,https://pcpartpicker.com/product/2kJgXL/powercolor-radeon-rx-6700-xt-12-gb-red-devil-video-card-axrx-6700xt-12gbd6-3dheoc,2622 MHz,2,Radeon RX 6700 XT,Black,3 Fans,2321 MHz,3,16000 MHz,2 x PCIe 8-pin,FreeSync,1,,PCIe x16,320 mm,PowerColor,12 GB,GDDR6,AXRX 6700XT 12GBD6-3DHE/OC,,230 W,3,,,
EVGA FTW3 ULTRA GAMING LE iCX3 GeForce RTX 3080 Ti 12 GB,https://pcpartpicker.com/product/FFPQzy/evga-geforce-rtx-3080-ti-12-gb-ftw3-ultra-gaming-le-icx3-video-card-12g-p5-3967-kr,1800 MHz,2,GeForce RTX 3080 Ti,Black,3 Fans,1365 MHz,3,,3 x PCIe 8-pin,G-Sync,1,,PCIe x16,300 mm,EVGA,12 GB,GDDR6X,12G-P5-3967-KR,,350 W,3,,,
