component_name,component_link,AMP_Molex_4pin_Connectors,ATX_4pin_Connectors,Color,EPS_8pin_Connectors,Efficiency_Rating,Fanless,Inferred_,Length,Manufacturer,Modular,PCIe_12pin_Connectors,PCIe_16pin_12VHPWR_12V2x6_Connectors,PCIe_62pin_Connectors,PCIe_6pin_Connectors,PCIe_8pin_Connectors,Part_#_#,SATA_Connectors,Type,Wattage,
SeaSonic FOCUS GX 750 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/97848d/seasonic-focus-gx-750-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-750,3,0,Black,2,80+ Gold,No,,140 mm,SeaSonic,Full,0,0,4,0,0,FOCUS-GX-750,10,ATX,750 W,
Lian Li EDGE 1000 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/ZCHqqs/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000,4,0,Black,2,80+ Platinum,No,,182 mm,Lian Li,Full,0,1,4,0,0,EG1000; EG1000 Black,12,ATX,1000 W,
Thermaltake Toughpower GF1 (2024) 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/kVyH99/thermaltake-toughpower-gf1-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfagu-p,4,0,Black,2,80+ Gold,No,,140 mm,Thermaltake,Full,0,0,6,0,0,PS-TPD-0850FNFAGU-P,8,ATX,850 W,
Super Flower Leadex V Pro 1000 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/r9BG3C/super-flower-leadex-v-pro-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sf-1000f14tp-wt,4,0,White,2,80+ Platinum,No,,130 mm,Super Flower,Full,0,0,8,0,0,SF-1000F14TP-WT; SF-1000F14TP(WT); SF-1000F14TP(WH); SF-1000F14TP-WH,12,ATX,1000 W,
be quiet! System Power 9 600 W 80+ Bronze Certified ATX,https://pcpartpicker.com/product/Wkprxr/be-quiet-system-power-9-600-w-80-bronze-certified-atx-power-supply-bn247,2,0,Black,1,80+ Bronze,No,,140 mm,be quiet!,No,0,0,4,0,0,BN247,6,ATX,600 W,
Corsair CX (2023) 550 W 80+ Bronze Certified ATX,https://pcpartpicker.com/product/f2fxFT/corsair-cx-2023-550-w-80-bronze-certified-atx-power-supply-cp-9020277-na,2,0,Black,1,80+ Bronze,No,,125 mm,Corsair,No,0,0,2,0,0,CP-9020277-NA; CP-9020277-WW; CP-9020277-EU; CP-9020277-AU; CP-9020277-UK,3,ATX,550 W,
Gigabyte UD-GM PG5 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/4LHqqs/gigabyte-ud-gm-pg5-850-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud850gm-pg5w,3,0,White,2,80+ Gold,No,,140 mm,Gigabyte,Full,0,1,4,0,0,GP-UD850GM PG5W,8,ATX,850 W,
be quiet! Pure Power 12 M 750 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/Yp9wrH/be-quiet-pure-power-12-m-750-w-80-gold-certified-fully-modular-atx-power-supply-bn504,2,0,Black,2,80+ Gold,No,,160 mm,be quiet!,Full,0,1,2,0,0,BN504; BN343; BN715,5,ATX,750 W,
Thermaltake Toughpower GF1 (2024) 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/kVyH99/thermaltake-toughpower-gf1-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfagu-p,4,0,Black,2,80+ Gold,No,,140 mm,Thermaltake,Full,0,0,6,0,0,PS-TPD-0850FNFAGU-P,8,ATX,850 W,
Lian Li EDGE GOLD 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/XTBFf7/lian-li-edge-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-eg0850g-black,6,0,Black,2,80+ Gold,No,,182 mm,Lian Li,Full,0,1,5,0,0,EG0850G Black; EDGE GOLD 850 Black,10,ATX,850 W,
Asus ROG Strix 1000 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/kHBFf7/asus-rog-strix-1000-w-80-platinum-certified-fully-modular-atx-power-supply-90ye00w1-b0na00,3,0,Black,2,80+ Platinum,No,,150 mm,Asus,Full,0,1,4,0,0,90YE00W1-B0NA00; ROG-STRIX-1000P-GAMING,6,ATX,1000 W,
