component_name,component_link,Boost_Clock,Case_Expansion_Slot_Width,Chipset,Color,Cooling,Core_Clock,DisplayPort_Outputs,Effective_Memory_Clock,External_Power,Frame_Sync,HDMI_Outputs,Interface,Length,Manufacturer,Memory,Memory_Type,Part__,SLI_CrossFire,TDP,Total_Slot_Width,Frame_Sync_Support,SLI_CrossFire_Support,Cooling_Type
Gigabyte Aorus Master Geforce Rtx 3080 Ti 12 Gb,https://pcpartpicker.com/product/JYXJ7P/gigabyte-geforce-rtx-3080-ti-12-gb-aorus-master-video-card-gv-n308taorus-m-12gd,1770,2,GeForce RTX 3080 Ti,Black,3 Fans,1365,3,0,1 x PCIe 8-pin,G-Sync,3,PCIe x16,320,Gigabyte,12,GDDR6X,GV-N308TAORUS M-12GD,nan,350,4,TRUE,FALSE,1 Fan
Asus Strix Gaming Oc Geforce Rtx 2060 6 Gb,https://pcpartpicker.com/product/Cdkj4D/asus-geforce-rtx-2060-6-gb-strix-gaming-oc-video-card-rog-strix-rtx2060-o6g-gaming,1860,2,GeForce RTX 2060,Black,3 Fans,1365,2,14000,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,2,PCIe x16,300,Asus,6,GDDR6,ROG-STRIX-RTX2060-O6G-GAMING,nan,160,3,TRUE,FALSE,1 Fan
Zotac Gaming Twin Edge Oc Geforce Rtx 3060 12Gb 12 Gb,https://pcpartpicker.com/product/sM8bt6/zotac-geforce-rtx-3060-12-gb-gaming-twin-edge-oc-video-card-zt-a30600h-10m,1807,2,GeForce RTX 3060 12GB,Black,2 Fans,1320,3,15000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,224,Zotac,12,GDDR6,ZT-A30600H-10M,nan,170,2,TRUE,FALSE,1 Fan
Asrock Challenger D Radeon Rx 6600 8 Gb,https://pcpartpicker.com/product/D9ytt6/asrock-radeon-rx-6600-8-gb-challenger-d-video-card-rx6600-cld-8g,0,2,Radeon RX 6600,Black,2 Fans,1626,3,0,1 x PCIe 8-pin,FreeSync,1,PCIe x16,269,Asrock,8,GDDR6,RX6600 CLD 8G,nan,132,2,TRUE,FALSE,1 Fan
Asus Ko Gaming Oc Geforce Rtx 3070 8 Gb,https://pcpartpicker.com/product/p3K2FT/asus-geforce-rtx-3070-8-gb-ko-gaming-oc-video-card-ko-rtx3070-o8g-gaming,1845,2,GeForce RTX 3070,Black / Silver,2 Fans,1500,3,14000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,275,Asus,8,GDDR6,KO-RTX3070-O8G-GAMING,nan,220,3,TRUE,FALSE,1 Fan
Gigabyte Vision Oc Geforce Rtx 3070 8 Gb,https://pcpartpicker.com/product/bgvqqs/gigabyte-geforce-rtx-3070-8-gb-vision-oc-video-card-gv-n3070visionoc-8gd,1815,2,GeForce RTX 3070,Silver,3 Fans,1500,2,14000,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,2,PCIe x16,286,Gigabyte,8,GDDR6,GV-N3070VISIONOC-8GD,nan,220,3,TRUE,FALSE,1 Fan
Powercolor Fighter Radeon Rx 6600 8 Gb,https://pcpartpicker.com/product/fQhFf7/powercolor-radeon-rx-6600-8-gb-fighter-video-card-axrx-6600-8gbd6-3dh,2491,2,Radeon RX 6600,Black,2 Fans,1626,3,0,1 x PCIe 8-pin,FreeSync,1,PCIe x16,200,Powercolor,8,GDDR6,AXRX 6600 8GBD6-3DH,nan,132,2,TRUE,FALSE,1 Fan
Evga Ftw3 Ultra Gaming Le Icx3 Geforce Rtx 3080 Ti 12 Gb,https://pcpartpicker.com/product/FFPQzy/evga-geforce-rtx-3080-ti-12-gb-ftw3-ultra-gaming-le-icx3-video-card-12g-p5-3967-kr,1800,2,GeForce RTX 3080 Ti,Black,3 Fans,1365,3,0,1 x PCIe 8-pin,G-Sync,1,PCIe x16,300,Evga,12,GDDR6X,12G-P5-3967-KR,nan,350,3,TRUE,FALSE,1 Fan
Asus Tuf Gaming Oc Geforce Rtx 3070 8 Gb,https://pcpartpicker.com/product/CX4BD3/asus-geforce-rtx-3070-8-gb-tuf-gaming-oc-video-card-tuf-rtx3070-o8g-gaming,1845,2,GeForce RTX 3070,Black,3 Fans,1500,3,14000,1 x PCIe 8-pin,G-Sync,2,PCIe x16,300,Asus,8,GDDR6,TUF-RTX3070-O8G-GAMING,nan,220,3,TRUE,FALSE,1 Fan
Evga K|Ngp|N Hybrid Gaming Geforce Rtx 3090 24 Gb,https://pcpartpicker.com/product/r63mP6/evga-geforce-rtx-3090-24-gb-kngpn-hybrid-gaming-video-card-24g-p5-3998-kr,1920,2,GeForce RTX 3090,Black,360 mm Radiator + 1 Fan,1395,3,19500,1 x PCIe 8-pin,G-Sync,1,PCIe x16,289,Evga,24,GDDR6X,24G-P5-3998-KR,2-way SLI Capable,350,2,TRUE,TRUE,Liquid Cooling
Nvidia Founders Edition Geforce Rtx 3080 10Gb 10 Gb,https://pcpartpicker.com/product/RnDkcf/nvidia-geforce-rtx-3080-10-gb-founders-edition-video-card-9001g1332530000,1710,2,GeForce RTX 3080 10GB,Black,2 Fans,1440,3,19000,1 x PCIe 12-pin,G-Sync,1,PCIe x16,285,Nvidia,10,GDDR6X,9001G1332530000,nan,320,2,TRUE,FALSE,1 Fan
